,Code,Provincia de registro,Distrito Nacional,Azua,Bahoruco,Barahona,Dajab�n,Duarte,El�as Pi�a,El Seibo,Espaillat,Independencia,La Altagracia,La Romana,La Vega,Mar�a Trinidad S�nchez,Monte Cristi,Pedernales,Peravia,Puerto Plata,Hermanas Mirabal,Saman�,San Cristobal,San Juan,San Pedro de Macoris,S�nchez Ram�rez,Santiago,Santiago Rodr�guez,Valverde,Monse�or Nouel,Monte Plata,Hato Mayor,San Jos� de Ocoa,Santo Domingo,
,1,Distrito Nacional,   5 972,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,2,Provincia Azua,    0,    871,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,3,Provincia Baoruco,    0,    0,    364,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,4,Provincia Barahona,    0,    0,    0,    704,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,5,Provincia Dajab�n,    0,    0,    0,    0,    215,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,6,Provincia Duarte,    0,    0,    0,    0,    0,   1 442,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,7,Provincia El�as Pi�a,    0,    0,    0,    0,    0,    0,    60,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,8,Provincia El Seibo,    0,    0,    0,    0,    0,    0,    0,    248,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,9,Provincia Espaillat,    0,    0,    0,    0,    0,    0,    0,    0,   1 310,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
,10,Provincia Independencia,    0,    0,    0,    0,    0,    0,    0,    0,    0,    146,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
